exposure_days,days_in_quar,days_in_extended_quar,days_in_iso,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,compliance,FoI_max,FoI_community
9.399999999999983,13.999999999999966,0.0,0.0,0.1,14.218564761735186,9.408872331308682,535.0,1,0,1,1.0,0.04243337089944104,0.13651853961995664
1.3,5.999999999999995,2.0000000000000004,9.99999999999998,0.1,12.391785464685617,6.769163596576511,2974.0,0,0,1,1.0,0.06720510241311611,0.003190823147505292
0.7,2.0000000000000004,0.0,9.99999999999998,0.1,4.355981828149509,9.345319241375474,3122.0,1,0,1,1.0,0.04063045305241523,0.0004650741565733113
1.4000000000000001,2.0000000000000004,0.0,9.99999999999998,0.1,13.4304258817188,9.176020951875287,3691.0,1,0,1,1.0,0.0983949474927285,0.00391941457734193
0.4,2.0000000000000004,0.0,9.99999999999998,0.1,8.644037623949382,8.408675260815874,4040.0,1,0,1,1.0,9.372864724473299,0.03876944951648692
1.0999999999999999,3.0000000000000013,5.999999999999995,9.99999999999998,0.1,9.097802341775532,8.506872101254817,4750.0,0,0,1,1.0,3.6776392736168777,0.08486852409847286
5.1999999999999975,2.0000000000000004,0.0,9.99999999999998,0.1,14.312239645101217,8.385528331906361,7511.0,1,0,1,1.0,2.5238447197368157e-5,2.093729026614328e-5
0.7,2.0000000000000004,5.999999999999995,9.99999999999998,0.1,7.932665182715815,9.507763489008383,7610.0,0,0,1,1.0,1.082525755791393,0.01110727222739834
3.1000000000000014,0.9999999999999999,5.999999999999995,9.99999999999998,0.1,10.289865251518144,9.698741011831206,7753.0,0,0,1,1.0,0.00022924651479548216,4.7434312435062455e-5
2.0000000000000004,5.999999999999995,0.0,9.99999999999998,0.1,13.344810691957246,9.437008496488858,8212.0,1,0,1,1.0,6.079076472047893,0.47496523142764846
7.099999999999991,13.999999999999966,0.0,0.0,0.1,3.578742344405124,8.97816477310062,8322.0,0,0,1,1.0,0.21728327721132087,0.3580111467324275
0.6,5.999999999999995,2.0000000000000004,9.99999999999998,0.1,7.352138776338535,8.698320212681462,8404.0,0,0,1,1.0,0.0024168748849911275,1.9776961640318836e-5
1.4000000000000001,2.0000000000000004,2.0000000000000004,9.99999999999998,0.1,5.544424297887256,8.696116595732871,8576.0,0,0,1,1.0,8.432608796480726e-5,3.669917566157817e-6
5.999999999999995,3.0000000000000013,13.999999999999966,0.0,0.1,11.005268803582998,9.810941618126753,9612.0,0,0,1,1.0,0.003104999323224515,0.002935183161675155
1.3,3.0000000000000013,5.999999999999995,9.99999999999998,0.1,9.267096214131605,8.40405171576227,9614.0,0,0,1,1.0,5.585368505366486,0.2196222836456193
2.0000000000000004,5.999999999999995,0.0,9.99999999999998,0.1,12.488979280687035,7.612269929103556,11186.0,1,0,1,1.0,0.007188952449039724,0.000781896284174798
2.500000000000001,4.999999999999998,2.0000000000000004,9.99999999999998,0.1,9.214951410692256,8.896917234452749,11528.0,0,0,1,1.0,0.0001393930406674398,2.0012059692698427e-5
2.0000000000000004,5.999999999999995,2.0000000000000004,9.99999999999998,0.1,8.453686276952668,9.790459337558627,12051.0,0,0,1,1.0,0.12659796999218012,0.010036071952873198
1.0999999999999999,2.0000000000000004,2.0000000000000004,9.99999999999998,0.1,6.041848937768292,8.4619241764862,13406.0,0,0,1,1.0,0.15084375350863496,0.0038979886902483336
4.799999999999999,5.999999999999995,0.0,9.99999999999998,0.1,8.980736190548228,7.950064076063956,14739.0,0,0,1,1.0,0.009094391206327138,0.006581780441674083
2.400000000000001,0.9999999999999999,2.0000000000000004,9.99999999999998,0.1,5.039043977528668,9.402137200183423,15078.0,0,0,1,1.0,0.4344830535867807,0.05373077457449681
0.1,0.9999999999999999,13.999999999999966,0.0,0.1,6.386078081416822,8.182714005562604,15255.0,0,0,1,1.0,1.4484685544476112e-7,4.795573736373382e-11
2.3000000000000007,5.999999999999995,0.0,9.99999999999998,0.1,7.891287135119071,9.268506012396385,15630.0,0,0,1,1.0,0.0002039445918500557,2.2708401834509433e-5
1.9000000000000006,2.0000000000000004,0.0,9.99999999999998,0.1,9.71557980783577,9.948824874873221,16397.0,1,0,1,1.0,0.2315002927684024,0.017209607037098812
8.899999999999984,13.999999999999966,0.0,0.0,0.1,5.250742313296393,6.266210857889629,17708.0,0,0,1,1.0,0.20467310755430604,0.8253502596008989
1.0999999999999999,4.999999999999998,2.0000000000000004,9.99999999999998,0.1,8.755577793242747,5.4059335740914305,19069.0,0,0,1,1.0,4.38803587558142,0.20256457947046544
3.2000000000000015,0.9999999999999999,5.999999999999995,9.99999999999998,0.1,10.950278389858019,8.588761870067362,20548.0,0,0,1,1.0,0.18631492572039432,0.04784794257229946
0.7,2.0000000000000004,0.0,9.99999999999998,0.1,5.053596210852188,9.50235330307054,20938.0,1,0,1,1.0,0.00035191395104880116,3.5635211498362225e-6
0.30000000000000004,5.999999999999995,2.0000000000000004,9.99999999999998,0.1,4.186139544017589,9.643198708590804,21165.0,0,0,1,1.0,0.8314354747789279,0.001224599033477666
1.0999999999999999,5.999999999999995,0.0,9.99999999999998,0.1,11.880602989409622,6.707177723269893,24423.0,1,0,1,1.0,0.8850650485094628,0.032071115305378206
1.3,2.0000000000000004,0.0,9.99999999999998,0.1,10.63664411464344,7.987338453464249,25225.0,1,0,1,1.0,0.0003571485190475039,1.448649525878593e-5
0.7999999999999999,5.999999999999995,0.0,9.99999999999998,0.1,8.07267361570432,9.098089300647132,28048.0,1,0,1,1.0,0.000601217542785654,8.168756338461779e-6
