t_TOST,p_dens_TOST
-12.75,0.000295639320029564
-12.25,0
-11.75,0.000295639320029564
-11.25,0.000886917960088692
-10.75,0.000591278640059128
-10.25,0.00118255728011826
-9.75,0.00147819660014782
-9.25,0.0032520325203252
-8.75,0.00354767184035477
-8.25,0.00532150776053215
-7.75,0.00679970436067997
-7.25,0.00591278640059128
-6.75,0.00946045824094605
-6.25,0.00886917960088692
-5.75,0.0174427198817443
-5.25,0.023059866962306
-4.75,0.0271988174427199
-4.25,0.0390243902439024
-3.75,0.0458240946045824
-3.25,0.0517368810051737
-2.75,0.0881005173688101
-2.25,0.107317073170732
-1.75,0.141611234294161
-1.25,0.185661492978566
-0.75,0.187435328898744
-0.25,0.202217294900222
0.25,0.145158906134516
0.75,0.133333333333333
1.25,0.103473762010347
1.75,0.102291204730229
2.25,0.0715447154471545
2.75,0.0668144863266815
3.25,0.0538063562453806
3.75,0.0452328159645233
4.25,0.0316334072431633
4.75,0.027790096082779
5.25,0.0189209164818921
5.75,0.0121212121212121
6.25,0.0103473762010347
6.75,0.00679970436067997
7.25,0.0032520325203252
7.75,0.00236511456023651
8.25,0.000591278640059128
