exposure_days,days_in_quar,days_in_extended_quar,days_in_iso,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,child,compliance,household,ext_group,FoI_max,FoI_community
8.599999999999985,13.999999999999966,0.0,0.0,0.1,3.609702793472384,7.837327910408068,197.0,0,1,1,0,1.0,338,1,1.4862273280805079e-5,5.2315602002373525e-5
3.4000000000000017,5.999999999999995,13.999999999999966,0.0,0.1,10.155791298529051,6.8207006397554695,1077.0,0,0,1,0,1.0,1883,2,0.14100907887149372,0.05776759234397596
10.699999999999978,13.999999999999966,0.0,0.0,0.1,6.179303535284051,7.344539566767012,1075.0,0,0,0,1,1.0,1890,1,2.1043008321928136,10.059205709655746
15.099999999999962,13.999999999999966,0.0,0.0,0.1,5.354383467074441,9.913129347779165,1075.0,0,1,1,0,1.0,1890,1,0.4900123777162678,2.790386070658285
0.8999999999999999,5.999999999999995,13.999999999999966,0.0,0.1,6.06353156445108,5.900061528448046,1155.0,0,0,1,0,1.0,2019,2,0.10059708854416889,0.002770242744591473
0.7999999999999999,2.0000000000000004,0.0,9.99999999999998,0.1,5.022692845777649,9.899126087587204,1380.0,1,0,1,0,1.0,2434,2,8.078238892811675e-6,1.0061100769099757e-7
0.8999999999999999,2.0000000000000004,0.0,9.99999999999998,0.1,5.543959442567674,8.79934683426597,2710.0,1,0,1,0,1.0,4793,2,3.0201567512864605e-10,5.37177075191991e-12
8.099999999999987,2.0000000000000004,20.000000000000014,0.0,0.1,20.467097248487924,8.674676527650718,3238.0,0,0,1,0,1.0,5713,2,7.6959023681301995,19.240023167589438
3.800000000000002,2.0000000000000004,0.0,9.99999999999998,0.1,8.110785281628017,9.79272420165125,3713.0,1,0,1,0,1.0,6571,2,1.1222160653374822e-5,3.5985766427635277e-6
0.30000000000000004,13.999999999999966,0.0,9.99999999999998,0.1,3.7030627955059834,9.86502283349936,4464.0,0,0,1,0,1.0,7883,2,2.4467458512998226,0.0065822222315412016
0.6,2.0000000000000004,0.0,9.99999999999998,0.1,6.554460998699368,8.248589096017723,4773.0,1,0,1,0,1.0,8449,2,7.547844559163128,0.055741455925869966
6.799999999999992,13.999999999999966,0.0,0.0,0.1,3.4723945812415664,5.548867382096308,8467.0,0,1,1,0,1.0,14989,1,7.423642836268225e-5,0.0002185035793451145
0.4,2.0000000000000004,13.999999999999966,0.0,0.1,9.914894280973485,9.369133677772442,9400.0,1,0,0,1,1.0,16638,1,3.502296487391441,0.01093801308682712
1.3,5.999999999999995,0.0,9.99999999999998,0.1,9.28602234511406,8.829425375572523,12708.0,1,0,1,0,1.0,22483,2,0.00034927898136170236,1.3500579617254901e-5
16.499999999999964,13.999999999999966,0.0,0.0,0.1,13.826418735689016,5.812147595196744,12745.0,0,0,0,1,1.0,22555,1,6.341996838932933,48.46563470542436
10.799999999999978,13.999999999999966,0.0,0.0,0.1,5.719428474569459,8.300109815184598,12745.0,0,1,1,0,1.0,22555,1,0.07819291945715463,0.37519692797373866
12.299999999999972,13.999999999999966,0.0,0.0,0.1,6.176812852360046,9.421163161852919,12745.0,0,1,1,0,1.0,22555,2,0.00041376080909925515,0.002224011895054197
13.09999999999997,13.999999999999966,0.0,0.0,0.1,10.012899593510301,6.034814293295954,15088.0,0,1,0,1,1.0,26698,0,2.8761260070432964,17.594237793947602
15.399999999999961,13.999999999999966,0.0,0.0,0.1,9.91213802135414,6.366060368571132,15428.0,0,0,1,0,1.0,27298,0,0.04702119168132537,0.29967585547591524
8.299999999999986,13.999999999999966,0.0,0.0,0.1,2.974731323261609,6.3365010003080915,19151.0,0,1,1,0,1.0,33884,0,0.0807421329716885,0.2717314503135414
0.2,2.0000000000000004,13.999999999999966,0.0,0.1,4.120057084171263,6.930374498964589,19637.0,0,0,1,0,1.0,34741,2,7.367891549556142e-5,1.278418147126725e-7
2.500000000000001,13.999999999999966,0.0,0.0,0.1,3.303927338629096,8.619023269743613,19998.0,0,0,0,1,1.0,35379,0,0.008513297783498639,0.0012940432696185473
9.799999999999981,13.999999999999966,0.0,0.0,0.1,12.65258715410676,8.020949832209743,19998.0,0,1,1,0,1.0,35379,0,2.2680601652643624,10.450066638009579
9.89999999999998,13.999999999999966,0.0,0.0,0.1,4.477938689400599,7.89153880634858,20574.0,0,1,1,0,1.0,36398,0,3.884545567203722e-9,1.645683447374381e-8
15.499999999999961,13.999999999999966,0.0,0.0,0.1,7.956457994375968,9.72893508322429,22778.0,0,1,0,1,1.0,40302,0,1.0479697340298859e-5,6.890863251811601e-5
5.4999999999999964,5.999999999999995,13.999999999999966,0.0,0.1,7.371710102963083,8.855358477601927,23503.0,0,0,1,0,1.0,41573,2,0.00026680481417664753,0.0002312761506402446
2.2000000000000006,3.0000000000000013,13.999999999999966,0.0,0.1,2.7695619821452193,7.961766410583185,23926.0,0,0,1,0,1.0,42330,1,0.12928162847335398,0.015550913225148467
0.30000000000000004,2.0000000000000004,0.0,9.99999999999998,0.1,5.8557778180654125,8.388142202761557,25786.0,1,0,1,0,1.0,45630,2,1.0834817260989632e-6,2.4269864459748947e-9
0.1,2.0000000000000004,0.0,9.99999999999998,0.1,7.891173442957657,8.280270117661768,26094.0,1,0,1,0,1.0,46174,2,4.737006015268623e-17,1.5034450298721234e-20
0.4,0.9999999999999999,13.999999999999966,0.0,0.1,2.5920210845295206,8.359365653670585,26671.0,0,0,1,0,1.0,47189,2,0.009088872213531426,3.0477617875042908e-5
