quar_duration	test_schedule	home_quar_flag	hotel_quar_flag	sync_flag	pVac_Travellers	VEi	VEs	compliance_rate	label
7	1, 5	TRUE	FALSE	FALSE	1	0.36	0.67	0	no quarantine, vaccinated, day 5 test
7	1, 5	TRUE	FALSE	FALSE	0	0	0	0	no quarantine, unvaccinated, day 5 test
