quar_duration	test_schedule	home_quar_flag	hotel_quar_flag	sync_flag	pVac_Travellers	VEi	VEs	compliance_rate	label
7	1, 5	FALSE	TRUE	FALSE	1	0.36	0.67	1	7d hotel quarantine vaccinated low comp
14	1, 5, 13	FALSE	TRUE	FALSE	1	0.36	0.67	1	14d hotel quarantine vaccinated low comp
14	1, 5, 13	TRUE	FALSE	FALSE	1	0.36	0.67	0	14d testing, no quarantine vaccinated
7	1, 5	TRUE	FALSE	FALSE	1	0.36	0.67	0	7d testing, no quarantine vaccinated
