exposure_days,days_in_quar,days_in_extended_quar,days_in_iso,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,child,compliance,household,ext_group,FoI_max,FoI_community
1.6000000000000003,2.0000000000000004,0.0,9.99999999999998,0.1,6.531501565066111,8.085639036275072,590.0,1,0,0,0,1.0,1036,2,0.6006401891661733,0.04168631440883098
9.299999999999983,13.999999999999966,0.0,0.0,0.1,3.097138760954633,7.232254178546539,720.0,0,0,0,0,1.0,1261,2,0.28582557182180496,1.0601768608042637
11.999999999999973,13.999999999999966,0.0,0.0,0.1,6.972939899102906,7.898629795590342,861.0,0,1,0,1,1.0,1507,0,0.0009535082382771738,0.005109046652836837
0.7,2.0000000000000004,15.99999999999996,0.0,0.1,8.412546555345763,9.372544264961071,876.0,0,0,0,1,1.0,1523,2,1.0497011496866115e-13,1.2740533023749652e-15
0.2,5.999999999999995,0.0,9.99999999999998,0.1,7.9138456352498645,9.236410736733728,935.0,1,0,0,0,1.0,1630,2,0.0025979650098671443,3.473630309497861e-6
3.1000000000000014,5.999999999999995,0.0,9.99999999999998,0.1,9.140005432359757,8.928475316825597,1029.0,0,0,0,0,1.0,1794,2,0.0020801850467614268,0.00048720240113647
15.099999999999962,13.999999999999966,0.0,0.0,0.1,7.848879688957214,7.358759190154348,1668.0,0,1,0,0,1.0,2925,0,5.95046968885262,34.76721580348395
0.4,2.0000000000000004,0.0,9.99999999999998,0.1,6.751547586853107,9.249007850953381,2963.0,1,0,0,0,1.0,5201,2,0.7428760685231772,0.002131900836475765
2.3000000000000007,2.0000000000000004,0.0,9.99999999999998,0.1,8.494381920520325,5.540931572406937,3763.0,0,0,0,0,1.0,6616,2,0.11610068782949794,0.023751481653992657
1.7000000000000004,5.999999999999995,0.0,9.99999999999998,0.1,10.462626459408861,8.173972739299277,3975.0,1,0,0,0,1.0,6977,2,0.00819302708586604,0.0005563763979635627
11.099999999999977,13.999999999999966,0.0,0.0,0.1,3.2183933833759877,9.32584795869813,4004.0,0,1,0,0,1.0,7034,0,0.006979147041161198,0.03127236658873399
0.30000000000000004,2.0000000000000004,0.0,9.99999999999998,0.1,8.45413392172699,8.90068711159203,4609.0,1,0,0,0,1.0,8097,2,19.845562414210853,0.044670757892588536
2.9000000000000012,5.999999999999995,0.0,9.99999999999998,0.1,10.19165408145958,8.747117891994844,5076.0,1,0,0,0,1.0,8913,2,1.044473619573538e-9,2.0385631137136305e-10
0.4,2.0000000000000004,0.0,9.99999999999998,0.1,6.08426647810948,9.514175444292107,5171.0,1,0,0,0,1.0,9088,2,0.00023947977769007173,8.907601098952045e-7
10.799999999999978,13.999999999999966,0.0,0.0,0.1,5.079517656576612,9.086963761513239,5783.0,0,1,0,0,1.0,10158,0,3.301254037194349e-5,0.00015158253609659183
5.399999999999997,13.999999999999966,0.0,0.0,0.1,5.182771875810263,9.723548310255346,6464.0,0,0,0,0,1.0,11356,2,0.04628800157188573,0.0329855621194412
2.400000000000001,2.0000000000000004,0.0,9.99999999999998,0.1,14.448232863138786,9.735163039713878,8436.0,1,0,0,0,1.0,14845,2,4.869108876593341e-5,5.946295440943095e-6
9.99999999999998,13.999999999999966,0.0,0.0,0.1,2.9518864761731947,9.598692089419703,8576.0,0,1,0,0,1.0,15091,0,0.008592579036935959,0.032466160147872264
18.499999999999993,13.999999999999966,0.0,0.0,0.1,9.854538710070397,9.070023970100355,9680.0,0,0,0,0,1.0,17039,1,0.8562445114360367,6.21315689779948
2.2000000000000006,2.0000000000000004,13.999999999999966,0.0,0.1,12.450691069204586,5.594001547494935,10314.0,0,0,0,0,1.0,18143,2,0.010921434004669143,0.0021035250316852813
11.299999999999976,13.999999999999966,0.0,0.0,0.1,4.903244239584209,8.735356960551384,10433.0,0,1,0,1,1.0,18356,0,5.57366930860945e-7,2.707235405687053e-6
11.099999999999977,0.9999999999999999,13.999999999999966,0.0,0.1,13.16256764026803,9.713258565852009,10728.0,0,0,0,0,1.0,18872,1,0.2422886340417003,1.1683178971284187
1.5000000000000002,2.0000000000000004,0.0,9.99999999999998,0.1,7.665578744850851,8.74335803338367,10774.0,1,0,0,0,1.0,18958,2,2.455559792939889,0.13017701395121706
10.19999999999998,13.999999999999966,0.0,0.0,0.1,4.152797149006766,6.5317712093580536,11028.0,0,1,0,1,1.0,19404,2,0.6319753878491667,2.539765382890673
10.29999999999998,13.999999999999966,0.0,0.0,0.1,3.958318929049576,9.448407973579648,11028.0,0,1,0,0,1.0,19404,1,0.39481969764727853,1.6111161108602279
10.499999999999979,13.999999999999966,0.0,0.0,0.1,3.914282985416085,6.829429564778318,11028.0,0,1,0,0,1.0,19404,2,4.600158358779716e-6,1.871771638475208e-5
0.1,2.0000000000000004,0.0,9.99999999999998,0.1,3.581916643681514,9.801505433260544,11055.0,1,0,0,0,1.0,19453,2,0.11498475917763884,3.901140828639719e-5
14.199999999999966,13.999999999999966,0.0,0.0,0.1,6.7679553686873195,7.721358446692813,11460.0,0,0,0,0,1.0,20167,0,0.05247024550342124,0.28877604634055365
14.499999999999964,5.999999999999995,13.999999999999966,0.0,0.1,26.216435086574393,5.945889684655892,11522.0,0,1,0,0,1.0,20262,1,3.2221668618127164,29.84199102535838
12.79999999999997,13.999999999999966,0.0,0.0,0.1,5.325407955363566,7.620979655600303,11952.0,0,1,0,0,1.0,21029,0,2.38405217587788e-9,1.1719652612298627e-8
8.099999999999987,13.999999999999966,0.0,0.0,0.1,7.015768877797542,6.069326723202266,11955.0,0,0,0,1,1.0,21036,2,0.010925821882549898,0.043324983013612615
